                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3836,                 3.2929,                 1.4184,                0.28075,                0.31552,                0.26003,                0.17556,                 1.4338,                 2.5354,                  1.485,               0.070083,              0.0033242,              0.0033242
                      2,                  1.348,                 2.3466,                  1.354,                0.43677,                0.35563,                0.35969,                0.22268,                 1.4514,                 2.2372,                 1.4996,               0.039861,              0.0064358,              0.0064358
                      3,                 1.4145,                 2.1554,                 1.3926,                0.38409,                0.40373,                0.35885,                0.21083,                 1.5381,                  2.077,                 1.5402,              0.0094173,              0.0093254,              0.0093254
                      4,                 1.4304,                 2.0571,                  1.409,                0.36209,                 0.4008,                0.35355,                 0.2215,                 1.4823,                 2.0854,                  1.511,               0.009001,               0.009001,               0.009001
                      5,                  1.379,                 1.9189,                 1.3823,                0.49902,                0.44399,                0.45922,                0.28609,                 1.4394,                 1.8624,                 1.4943,               0.008668,               0.008668,               0.008668
                      6,                 1.3432,                 1.8001,                 1.3511,                0.55369,                0.46746,                0.49614,                0.31403,                 1.3701,                 1.8166,                 1.4768,               0.008335,               0.008335,               0.008335
                      7,                  1.289,                 1.7118,                 1.3238,                0.59897,                0.47951,                 0.5356,                0.34687,                 1.3458,                   1.63,                 1.4115,               0.008002,               0.008002,               0.008002
                      8,                 1.2783,                 1.6576,                 1.3139,                0.60765,                0.49987,                0.55048,                0.35974,                 1.3263,                 1.6039,                 1.4188,               0.007669,               0.007669,               0.007669
                      9,                 1.2332,                 1.5878,                  1.289,                0.57097,                0.51902,                0.55717,                0.36295,                 1.3073,                 1.5563,                   1.39,               0.007336,               0.007336,               0.007336
                     10,                  1.214,                 1.5403,                 1.2741,                0.63212,                0.51876,                0.57796,                0.38386,                 1.2809,                 1.5022,                  1.366,               0.007003,               0.007003,               0.007003
                     11,                 1.1837,                 1.4947,                 1.2529,                0.61796,                0.53782,                0.57843,                0.38906,                 1.2641,                 1.4936,                 1.3696,                0.00667,                0.00667,                0.00667
                     12,                 1.1699,                 1.4799,                 1.2437,                0.65146,                0.54172,                0.60299,                0.40568,                 1.2347,                 1.4199,                 1.3461,               0.006337,               0.006337,               0.006337
                     13,                 1.1631,                 1.4386,                 1.2421,                0.62161,                0.59783,                0.62587,                0.42407,                   1.22,                 1.4029,                 1.3255,               0.006004,               0.006004,               0.006004
                     14,                  1.137,                 1.4028,                 1.2241,                0.67101,                0.55162,                0.62626,                0.42416,                 1.2241,                 1.3871,                 1.3236,               0.005671,               0.005671,               0.005671
                     15,                 1.1257,                 1.3793,                 1.2213,                0.67695,                0.59362,                0.65084,                0.44023,                 1.2121,                 1.3432,                  1.323,               0.005338,               0.005338,               0.005338
                     16,                   1.12,                 1.3693,                 1.2152,                0.69997,                0.57399,                0.64996,                0.44398,                 1.1939,                 1.3186,                 1.2976,               0.005005,               0.005005,               0.005005
                     17,                 1.0916,                 1.3395,                 1.1943,                0.68773,                0.58638,                0.65128,                0.44724,                 1.1875,                 1.3213,                 1.2924,               0.004672,               0.004672,               0.004672
                     18,                 1.0785,                 1.2942,                 1.1929,                0.70157,                0.58868,                 0.6599,                0.46025,                 1.1613,                 1.2899,                  1.289,               0.004339,               0.004339,               0.004339
                     19,                 1.0657,                 1.2696,                 1.1825,                0.71988,                0.60478,                0.66776,                0.46138,                 1.1598,                 1.2828,                 1.2696,               0.004006,               0.004006,               0.004006
                     20,                 1.0584,                 1.2539,                  1.177,                0.71079,                0.62045,                0.68015,                 0.4703,                  1.157,                 1.2645,                 1.2673,               0.003673,               0.003673,               0.003673
                     21,                 1.0221,                 1.1247,                 1.2012,                0.71022,                0.60741,                0.68837,                0.48031,                 1.1564,                 1.2394,                 1.2702,                0.00334,                0.00334,                0.00334
                     22,                 1.0052,                  1.102,                  1.192,                0.76855,                0.61343,                0.70205,                0.48996,                  1.132,                 1.2045,                 1.2695,               0.003007,               0.003007,               0.003007
                     23,                0.97527,                 1.0641,                 1.1715,                 0.7576,                0.63405,                0.71342,                0.49856,                 1.1228,                 1.1965,                 1.2537,               0.002674,               0.002674,               0.002674
                     24,                0.97444,                 1.0391,                 1.1711,                0.74678,                0.63723,                0.71758,                0.50348,                 1.1143,                 1.1688,                 1.2543,               0.002341,               0.002341,               0.002341
                     25,                 0.9557,                 1.0165,                 1.1534,                0.76351,                0.63823,                 0.7179,                0.50237,                 1.1154,                 1.1608,                 1.2443,               0.002008,               0.002008,               0.002008
                     26,                0.94274,                0.99671,                 1.1505,                0.74827,                0.64518,                0.72398,                0.51346,                 1.0929,                  1.137,                 1.2327,               0.001675,               0.001675,               0.001675
                     27,                0.93124,                0.97382,                 1.1426,                0.77811,                0.63741,                0.73304,                0.52045,                 1.0956,                 1.1254,                  1.232,               0.001342,               0.001342,               0.001342
                     28,                0.91626,                 0.9515,                 1.1354,                0.76174,                0.66067,                0.73707,                 0.5254,                 1.0842,                 1.1152,                 1.2243,               0.001009,               0.001009,               0.001009
                     29,                0.89681,                0.92922,                 1.1155,                0.76689,                 0.6661,                 0.7406,                0.53014,                 1.0727,                 1.0887,                 1.2136,               0.000676,               0.000676,               0.000676
                     30,                0.89329,                0.92014,                  1.118,                 0.7821,                0.65423,                0.74327,                0.53281,                 1.0692,                 1.0834,                 1.2164,               0.000343,               0.000343,               0.000343
